title,location,time_of_work,type_of_agreement,salary,article_url
Pomoc kuchenna/Kucharz - stołówka w centrum Krakowa.,11  gru,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/pomoc-kuchenna-kucharz-stolowka-w-centrum-krakowa-CID4-IDCzfjQ.html#aec01974cd
zatrudnię KUCHARZA/ kawiarnia Akwarium Lea,"Kraków, Dębniki",Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/zatrudnie-kucharza-kawiarnia-akwarium-lea-CID4-IDBqjIs.html#aec01974cd
Pracownik restauracji McDonald`s PKP,11  gru,Pełny etat,Umowa o pracę,od 16 zł do 18 zł/mies.  brutto,https://www.olx.pl/oferta/pracownik-restauracji-mcdonalds-pkp-CID4-IDCx1z6.html#aec01974cd
Kucharz / Restauracja Samoobsługowa,"Kraków, Stare Miasto",Pełny etat,Umowa o pracę,od 2 600 zł do 3 000 zł/mies.  brutto,https://www.olx.pl/oferta/kucharz-restauracja-samoobslugowa-CID4-IDx15Fv.html#aec01974cd
Asystent Ogólny- Zmywanie naczyń / Restauracja Samoobsługowa,11  gru,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/asystent-ogolny-zmywanie-naczyn-restauracja-samoobslugowa-CID4-IDxGYlB.html#aec01974cd
pomoc kucharza,"Kraków, Bieńczyce",Pełny etat,Umowa o pracę,od 16 zł do 18 zł/mies.  brutto,https://www.olx.pl/oferta/pomoc-kucharza-CID4-IDCP3Ns.html#aec01974cd
Kucharz (m / k) - hotel Vienna House Easy,11  gru,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/kucharz-m-k-hotel-vienna-house-easy-CID4-IDiJyTx.html#aec01974cd
Praca zmywak,"Kraków, Prądnik Czerwony",Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/praca-zmywak-CID4-IDCm9uD.html#aec01974cd
Praca w Doner King Kraków,11  gru,Niepełny etat,Umowa o pracę,,https://www.olx.pl/oferta/praca-w-doner-king-krakow-CID4-IDCGbpA.html#aec01974cd
Queen Boutique Hotel zatrudni kelnera lub kelnerkę śniadaniową,"Kraków, Grzegórzki",Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/queen-boutique-hotel-zatrudni-kelnera-lub-kelnerke-sniadaniowa-CID4-IDCCp1I.html#aec01974cd
Pizzer /Kucharz,"Kraków, Podgórze",Pełny etat,Umowa o pracę,od 3 000 zł do 5 000 zł/mies.  brutto,https://www.olx.pl/oferta/pizzer-kucharz-CID4-IDANGyK.html#894c58ffe1;promoted
Restauracja śródziemnomorska zatrudni Kucharza,17  gru,Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/restauracja-srodziemnomorska-zatrudni-kucharza-CID4-IDCdvP3.html#894c58ffe1;promoted
Kucharz z pasją,"Kraków, Czyżyny",Pełny etat,Umowa o pracę,,https://www.olx.pl/oferta/kucharz-z-pasja-CID4-IDCOwkv.html#894c58ffe1
