model,production year,mileage,engine capacity,price,currency,city,region
Ford Focus Mk2,2011,102 309 km,1 596 cm3,21 000,PLN,Piaseczno,Mazowieckie
Ford Focus Mk3,2015,83 303 km,999 cm3,44 200,PLN,Jelonek,Wielkopolskie
Ford Focus Mk3,2012,136 000 km,1 000 cm3,28 900,PLN,Gniezno,Wielkopolskie
Ford Focus Mk3,2013,105 700 km,998 cm3,30 900,PLN,Opatówek,Wielkopolskie
Ford Focus Mk3,2015,94 368 km,2 000 cm3,30 900,PLN,Siedlce,Mazowieckie
Ford Focus Mk3,2016,89 000 km,1 998 cm3,39 900,PLN,Warszawa,Mazowieckie
Ford Focus Mk3,2016,83 000 km,1 596 cm3,37 900,PLN,Rzeszów,Podkarpackie
Ford Focus Mk3,2017,114 000 km,1 600 cm3,48 900,PLN,Katowice,Œl¹skie
Ford Focus Mk3,2012,125 000 km,1 000 cm3,24 990,PLN,Z³otów,Wielkopolskie
Ford Focus Mk3,2014,81 200 km,1 000 cm3,31 900,PLN,Swarzêdz,Wielkopolskie
Ford Focus Mk3,2015,138 000 km,1 600 cm3,33 935,PLN,Szczucin,Ma³opolskie
Ford Focus Mk3,2015,124 000 km,1 600 cm3,33 935,PLN,Szczucin,Ma³opolskie
Ford Focus Mk2,2009,105 000 km,1 600 cm3,15 999,PLN,Olsztyn,Warmiñsko-mazurskie
Ford Focus Mk3,2014,99 000 km,998 cm3,30 900,PLN,Piekary Œl¹skie,Œl¹skie
Ford Focus Mk3,2015,89 000 km,1 000 cm3,27 500,PLN,K³odzko,Dolnoœl¹skie
Ford Focus Mk3,2014,117 264 km,998 cm3,29 900,PLN,Z³otniki,Wielkopolskie
Ford Focus Mk3,2012,130 000 km,1 984 cm3,27 000,PLN,S³upsk,Pomorskie
Ford Focus Mk4,2017,80 174 km,1 596 cm3,42 900,PLN,Katowice,Œl¹skie
Ford Focus Mk3,2011,137 000 km,1 600 cm3,29 900,PLN,Orzech,Œl¹skie
Ford Focus Mk3,2012,150 000 km,1 590 cm3,31 800,PLN,Œwi¹tniki,Dolnoœl¹skie
Ford Focus Mk3,2015,82 000 km,1 500 cm3,49 900,PLN,Gi¿ycko,Warmiñsko-mazurskie
Ford Focus Mk3,2013,96 700 km,Benzyna,26 900,PLN,Nowy Targ,Ma³opolskie
Ford Focus Mk3,2014,95 000 km,1 000 cm3,23 900,PLN,Zduñska Wola,£ódzkie
Ford Focus Mk3,2012,113 543 km,1 596 cm3,32 600,PLN,Baranowo,Wielkopolskie
Ford Focus Mk2,2009,98 000 km,1 600 cm3,17 999,PLN,Ostrów Wielkopolski,Wielkopolskie
Ford Focus Mk3,2014,113 000 km,998 cm3,27 900,PLN,Miechów,Ma³opolskie
Ford Focus Mk3,2011,132 251 km,1 600 cm3,27 900,PLN,Pabianice,£ódzkie
Ford Focus Mk3,2016,116 105 km,1 498 cm3,47 900,PLN,Warszawa,Mazowieckie
Ford Focus Mk3,2013,133 000 km,1 000 cm3,27 900,PLN,Kielce,Œwiêtokrzyskie
Ford Focus Mk3,2016,105 777 km,1 600 cm3,39 975,PLN,Warszawa,Mazowieckie
Ford Focus Mk3,2014,90 000 km,1 600 cm3,28 800,PLN,Alwernia,Ma³opolskie
Ford Focus Mk3,2012,115 000 km,1 600 cm3,37 900,PLN,Kraków,Ma³opolskie
Ford Focus Mk3,2011,115 000 km,1 600 cm3,30 900,PLN,£ask,£ódzkie
Ford Focus Mk2,2009,120 000 km,1 600 cm3,18 900,PLN,Chorzów,Œl¹skie
Ford Focus Mk3,2012,103 000 km,1 600 cm3,29 900,PLN,B³a¿owa,Podkarpackie
Ford Focus Mk3,2012,77 000 km,1 600 cm3,29 500,PLN,Œroda Wielkopolska,Wielkopolskie
Ford Focus Mk3,2013,146 945 km,998 cm3,34 900,PLN,Stary S¹cz,Ma³opolskie
Ford Focus Mk3,2016,78 500 km,1 998 cm3,36 500,PLN,Boles³awiec,Dolnoœl¹skie
Ford Focus Mk2,2010,132 000 km,1 598 cm3,21 900,PLN,Czchów,Ma³opolskie
Ford Focus Mk3,2014,141 500 km,998 cm3,25 900,PLN,Bytom,Œl¹skie
Ford Focus Mk3,2011,128 956 km,1 596 cm3,28 000,PLN,Kamieniec Z¹bkowicki,Dolnoœl¹skie
Ford Focus Mk3,2011,130 000 km,1 596 cm3,32 000,PLN,Chojnów,Dolnoœl¹skie
Ford Focus Mk3,2012,110 000 km,1 000 cm3,32 900,PLN,Siedlce,Mazowieckie
Ford Focus Mk3,2010,112 000 km,1 998 cm3,27 900,PLN,Koœcielec,Wielkopolskie
Ford Focus Mk2,2011,130 000 km,1 600 cm3,19 900,PLN,£uków,Lubelskie
Ford Focus Mk3,2013,134 000 km,1 000 cm3,32 900,PLN,Wa³brzych,Dolnoœl¹skie
Ford Focus Mk3,2011,95 000 km,1 598 cm3,25 900,PLN,Rawicz,Wielkopolskie
Ford Focus Mk3,2013,85 000 km,998 cm3,31 500,PLN,Bulowice,Ma³opolskie
Ford Focus Mk3,2014,115 053 km,998 cm3,28 000,PLN,Piaseczno,Mazowieckie
Ford Focus Mk3,2013,88 581 km,998 cm3,27 900,PLN,Kaliska Koœcierskie,Pomorskie
Ford Focus Mk3,2011,105 000 km,1 600 cm3,28 000,PLN,Andrychów,Ma³opolskie
Ford Focus Mk2,2010,132 000 km,1 800 cm3,21 500,PLN,Korytów A,Mazowieckie
Ford Focus Mk2,2009,144 628 km,1 596 cm3,12 000,PLN,Poznañ,Wielkopolskie
Ford Focus Mk3,2011,149 000 km,1 600 cm3,29 900,PLN,Radom,Mazowieckie
Ford Focus Mk3,2011,136 000 km,1 600 cm3,29 999,PLN,Nowy Tomyœl,Wielkopolskie
Ford Focus Mk2,2009,144 628 km,1 596 cm3,12 000,PLN,Katowice,Œl¹skie
Ford Focus Mk3,2016,120 300 km,999 cm3,34 400,PLN,Rzeszów,Podkarpackie
Ford Focus Mk3,2011,129 565 km,1 596 cm3,30 500,PLN,Radom,Mazowieckie
Ford Focus Mk3,2015,93 000 km,998 cm3,39 900,PLN,Jastrzêbie-Zdrój,Œl¹skie
Ford Focus Mk3,2013,144 694 km,1 000 cm3,28 900,PLN,Gniezno,Wielkopolskie
Ford Focus Mk3,2011,86 000 km,1 596 cm3,31 999,PLN,Chojnów,Dolnoœl¹skie
Ford Focus Mk3,2015,75 569 km,Benzyna,34 440,PLN,Poznañ,Wielkopolskie
Ford Focus Mk3,2015,100 000 km,999 cm3,39 000,PLN,Zaczernie,Podkarpackie
Ford Focus Mk3,2011,101 570 km,1 600 cm3,29 999,PLN,Gliwice,Œl¹skie
Ford Focus Mk2,2010,139 000 km,1 600 cm3,15 999,PLN,Bydgoszcz,Kujawsko-pomorskie
Ford Focus Mk2,2010,132 000 km,1 596 cm3,18 900,PLN,S³omniki,Ma³opolskie
Ford Focus Mk3,2011,130 000 km,1 600 cm3,19 900,PLN,Ostrów Mazowiecka,Mazowieckie
Ford Focus Mk3,2015,80 940 km,2 000 cm3,28 800,PLN,Siedlce,Mazowieckie
Ford Focus Mk2,2009,132 141 km,2 500 cm3,36 000,PLN,Jugowice,Dolnoœl¹skie
Ford Focus Mk3,2011,75 911 km,1 596 cm3,32 900,PLN,Gdañsk,Pomorskie
Ford Focus Mk3,2013,149 000 km,998 cm3,27 900,PLN,K³odzko,Dolnoœl¹skie
Ford Focus Mk3,2013,102 371 km,1 600 cm3,28 900,PLN,Czarna Woda,Pomorskie
Ford Focus Mk3,2014,110 000 km,1 596 cm3,33 900,PLN,Wroc³aw,Dolnoœl¹skie
Ford Focus Mk3,2015,84 803 km,1 596 cm3,35 499,PLN,Z¹bki,Mazowieckie
Ford Focus Mk3,2014,130 000 km,1 596 cm3,34 500,PLN,Warszawa,Mazowieckie
Ford Focus Mk3,2016,101 088 km,1 560 cm3,37 900,PLN,Opole,Opolskie
Ford Focus Mk3,2017,96 987 km,1 600 cm3,42 900,PLN,Bydgoszcz,Kujawsko-pomorskie
Ford Focus Mk3,2012,129 250 km,1 000 cm3,23 700,PLN,S³upsk,Pomorskie
Ford Focus Mk3,2011,142 000 km,1 600 cm3,29 900,PLN,Bieruñ,Œl¹skie
Ford Focus Mk3,2015,148 464 km,1 600 cm3,30 800,PLN,Kraków,Ma³opolskie
Ford Focus Mk3,2011,132 000 km,1 596 cm3,27 900,PLN,Zbylutów,Dolnoœl¹skie
Ford Focus Mk3,2014,81 000 km,Benzyna,30 800,PLN,Myszków,Œl¹skie
Ford Focus Mk3,2015,88 631 km,1 596 cm3,41 900,PLN,Warszawa,Mazowieckie
Ford Focus Mk3,2014,99 900 km,1 000 cm3,29 900,PLN,Oleœnica,Dolnoœl¹skie
Ford Focus Mk3,2014,96 295 km,998 cm3,39 900,PLN,Bielsko-Bia³a,Œl¹skie
Ford Focus Mk3,2013,149 000 km,1 000 cm3,29 900,PLN,Racibórz,Œl¹skie
Ford Focus Mk3,2014,89 400 km,998 cm3,24 400,PLN,Ksi¹¿enice,Œl¹skie
Ford Focus Mk3,2014,127 875 km,1 596 cm3,37 000,PLN,Bielany Wroc³awskie,Dolnoœl¹skie
Ford Focus Mk2,2011,98 000 km,1 600 cm3,23 900,PLN,Olsztyn,Warmiñsko-mazurskie
Ford Focus Mk2,2010,86 000 km,1 800 cm3,19 999,PLN,Przysucha,Mazowieckie
Ford Focus Mk3,2015,93 670 km,1 498 cm3,46 900,PLN,Kwacza³a,Ma³opolskie
Ford Focus Mk3,2011,144 800 km,1 600 cm3,33 900,PLN,Mys³owice,Œl¹skie
Ford Focus Mk3,2012,78 000 km,1 600 cm3,29 900,PLN,Poznañ,Wielkopolskie
Ford Focus Mk3,2011,149 000 km,1 596 cm3,27 900,PLN,Lubartów,Lubelskie
Ford Focus Mk3,2016,109 000 km,2 000 cm3,39 600,PLN,Kraków,Ma³opolskie
Ford Focus Mk3,2014,127 000 km,1 999 cm3,45 900,PLN,Poznañ,Wielkopolskie
Ford Focus Mk3,2012,82 469 km,998 cm3,27 900,PLN,Orneta,Warmiñsko-mazurskie
Ford Focus Mk2,2009,110 000 km,1 600 cm3,16 900,PLN,Malbork,Pomorskie
Ford Focus Mk3,2012,131 000 km,1 998 cm3,24 900,PLN,Warszawa,Mazowieckie
Ford Focus Mk2,2009,143 000 km,1 600 cm3,18 900,PLN,Chorzów,Œl¹skie
Ford Focus Mk2,2009,102 000 km,1 600 cm3,16 400,PLN,Kruszwica,Kujawsko-pomorskie
Ford Focus Mk3,2015,100 800 km,1 596 cm3,41 900,PLN,Radziejowice,Mazowieckie
Ford Focus Mk3,2014,93 000 km,998 cm3,33 600,PLN,Jastrzêbie-Zdrój,Œl¹skie
Ford Focus Mk3,2012,130 000 km,1 600 cm3,29 900,PLN,Chorzów,Œl¹skie
Ford Focus Mk3,2012,126 000 km,998 cm3,24 900,PLN,Prabuty,Pomorskie
